hotel_id,Hotel Property,Arrival Date,Year,Arrival Months,Seasons,country,TTL Rooms,Sold1,Room Sold,Occupancy, ADR , ADR Modifier , Revenue ,Relocation,Room OB, Revnue OB ,Relocation Rev,market_segment,distribution_channel,to_name,company,customer_type,lead_time,reservation_status_date,Reservation Status,Projected PickUp 
7,Kasha Property,01/04/14,2014,Apr,Low Season,CZ,11,2,3,0.27,81,266,799,,0,    ,    ,Contracted T.O,Offline,OTA,Zeinth Tours,Transient,224,20/08/13,Confirmed,2
7,Kasha Property,02/04/14,2014,Apr,Low Season,UK,11,0,1,0.09,81,266,266,,0,    ,    ,Contracted T.O,Direct,OTA,Zeinth Tours,Transient,5,28/03/14,Confirmed,0
7,Kasha Property,03/04/14,2014,Apr,Low Season,FR,11,1,2,0.18,81,268,536,,0,    ,    ,Website,Direct,OTA,Website,Transient,1,02/04/14,Confirmed,1
7,Kasha Property,04/04/14,2014,Apr,Low Season,DE,11,0,1,0.09,82,270,270,,0,    ,    ,Website,Corporate,OTA,Website,Transient,211,05/09/13,Confirmed,0
7,Kasha Property,05/04/14,2014,Apr,Low Season,UK,11,0,1,0.09,81,266,266,,0,    ,    ,Website,TA/TO,OTA,Website,Transient,48,16/02/14,Confirmed,0
7,Kasha Property,06/04/14,2014,Apr,Low Season,FR,11,0,1,0.09,82,272,272,,0,    ,    ,Website,TA/TO,OTA,Website,Transient,346,25/04/13,Confirmed,0
7,Kasha Property,07/04/14,2014,Apr,Low Season,DE,11,2,3,0.27,37,123,370,,0,    ,    ,Website,Direct,OTA,Website,Transient,34,04/03/14,Confirmed,2
7,Kasha Property,08/04/14,2014,Apr,Low Season,UK,11,0,1,0.09,81,266,266,,0,    ,    ,Website,Direct,OTA,Website,Transient,83,15/01/14,Confirmed,0
7,Kasha Property,09/04/14,2014,Apr,Low Season,FR,11,2,3,0.27,81,266,799,,0,    ,    ,Website,TA/TO,OTA,Website,Transient,121,09/12/13,Confirmed,2
7,Kasha Property,10/04/14,2014,Apr,Low Season,DE,11,1,2,0.18,85,279,558,,0,    ,    ,Website,TA/TO,OTA,Website,Transient,44,25/02/14,Confirmed,1
7,Kasha Property,11/04/14,2014,Apr,Low Season,UK,11,1,2,0.18,81,268,536,,0,    ,    ,Website,TA/TO,OTA,Website,Transient,0,11/04/14,Confirmed,1
7,Kasha Property,12/04/14,2014,Apr,Low Season,FR,11,1,2,0.18,82,269,538,,0,    ,    ,Website,TA/TO,OTA,Website,Transient,35,08/03/14,Confirmed,1
7,Kasha Property,13/04/14,2014,Apr,Low Season,DE,11,0,1,0.09,81,266,266,,0,    ,    ,Website,TA/TO,OTA,Website,Transient,30,14/03/14,Confirmed,0
7,Kasha Property,14/04/14,2014,Apr,Low Season,UK,11,2,3,0.27,81,266,799,,0,    ,    ,Website,TA/TO,OTA,Website,Transient,95,09/01/14,Confirmed,2
