hotel_id,Hotel Property,Arrival Date,Year,Arrival Months,Seasons,country,available Rooms,Room Sold,occupancy,ADR,market_segment,distribution_channel,to_name,company,Revenue,customer_type,lead_time,reservation_status_date,Reservation Status,Projected PickUp 
1,Kasha Property,01/01/14,2014,Jan,Shoulder Season,EE,6,3,0.5,268.06,Leisure,TA/TO,Sunset Ltd,Company C,804.17,Transient,224,20/08/13,Confirmed,2
2,Casa Property,01/01/14,2014,Jan,Shoulder Season,LU,14,6,0.4,89.17,Business,OTA,Oceanic Travels,Company B,535.03,Transient,5,28/03/14,Confirmed,0
6,Fun Property,01/01/14,2014,Jan,Shoulder Season,LU,20,10,0.5,92.83,Leisure,OTA,ZanziTours,Company A,928.34,Transient,1,02/04/14,Confirmed,1
5,Loop Property,01/01/14,2014,Jan,Shoulder Season,IE,17,8,0.5,94.08,Leisure,TA/TO,TO Africa,Company A,752.66,Transient,211,05/09/13,Confirmed,0
4,Michamvi Property,01/01/14,2014,Jan,Shoulder Season,BE,18,10,0.6,93.59,Corporate,Website,Sunset Ltd,,935.9,Transient,48,16/02/14,Confirmed,0
7,Mwezi Property,01/01/14,2014,Jan,Shoulder Season,CZ,22,12,0.5,91.19,Business,Group,Sunset Ltd,Company C,1094.27,Transient,346,25/04/13,Confirmed,0
3,Nur Property,01/01/14,2014,Jan,Shoulder Season,LU,17,9,0.5,81.17,Group,TA/TO,Sunset Ltd,,730.56,Transient,34,04/03/14,Confirmed,2
1,Kasha Property,02/01/14,2014,Jan,Shoulder Season,JP,6,2,0.3,261.1,Corporate,OTA,ZanziTours,Company A,522.21,Transient,83,15/01/14,Confirmed,0
2,Casa Property,02/01/14,2014,Jan,Shoulder Season,IN,14,7,0.5,94.69,Leisure,TA/TO,Oceanic Travels,Company B,662.8,Transient,121,09/12/13,Confirmed,2
6,Fun Property,02/01/14,2014,Jan,Shoulder Season,LV,20,12,0.6,82.01,Group,TA/TO,TO Africa,,984.08,Transient,44,25/02/14,Confirmed,1
5,Loop Property,02/01/14,2014,Jan,Shoulder Season,SK,17,8,0.5,92.58,Leisure,TA/TO,Oceanic Travels,Company B,740.61,Transient,0,11/04/14,Confirmed,1
