hotel_id,Hotel Property,Arrival Date,Year,Arrival Months,Seasons,country,available Rooms,Room Sold,occupancy,ADR,market_segment,distribution_channel,to_name,company,Revenue,customer_type,lead_time,reservation_status_date,Reservation Status
1,Kasha Property,01/01/14,2014,Jan,Shoulder Season,EE,6,3,0.5,268.06,Leisure,TA/TO,Sunset Ltd,Company C,804.17,Transite,140,27/12/13,No Show
2,Casa Property,01/01/14,2014,Jan,Shoulder Season,LU,14,6,0.4,89.17,Business,OTA,Oceanic Travels,Company B,535.03,Transite,70,26/12/13,No Show
6,Fun Property,01/01/14,2014,Jan,Shoulder Season,LU,20,10,0.5,92.83,Leisure,OTA,ZanziTours,Company A,928.34,Transite,22,29/12/13,Confirmed
5,Loop Property,01/01/14,2014,Jan,Shoulder Season,IE,17,8,0.5,94.08,Leisure,TA/TO,TO Africa,Company A,752.66,Transite,180,18/12/13,Confirmed
4,Michamvi Property,01/01/14,2014,Jan,Shoulder Season,BE,18,10,0.6,93.59,Corporate,Website,Sunset Ltd,,935.9,Transite,45,07/12/13,Confirmed
7,Mwezi Property,01/01/14,2014,Jan,Shoulder Season,CZ,22,12,0.5,91.19,Business,Group,Sunset Ltd,Company C,1094.27,Transite,131,09/12/13,Canceled
3,Nur Property,01/01/14,2014,Jan,Shoulder Season,LU,17,9,0.5,81.17,Group,TA/TO,Sunset Ltd,,730.56,Transite,57,27/12/13,Canceled
1,Kasha Property,02/01/14,2014,Jan,Shoulder Season,JP,6,2,0.3,261.1,Corporate,OTA,ZanziTours,Company A,522.21,Transite,3,30/12/13,Canceled
2,Casa Property,02/01/14,2014,Jan,Shoulder Season,IN,14,7,0.5,94.69,Leisure,TA/TO,Oceanic Travels,Company B,662.8,Transite,67,24/12/13,Canceled
6,Fun Property,02/01/14,2014,Jan,Shoulder Season,LV,20,12,0.6,82.01,Group,TA/TO,TO Africa,,984.08,Transite,14,10/12/13,No Show
5,Loop Property,02/01/14,2014,Jan,Shoulder Season,SK,17,8,0.5,92.58,Leisure,TA/TO,Oceanic Travels,Company B,740.61,Transite,45,20/12/13,Confirmed
4,Michamvi Property,02/01/14,2014,Jan,Shoulder Season,BE,18,9,0.5,90.53,Business,Website,ZanziTours,,814.77,Transite,131,08/12/13,No Show
7,Mwezi Property,02/01/14,2014,Jan,Shoulder Season,AT,22,12,0.5,92.02,Group,Corporate,Oceanic Travels,,1104.27,Transite,8,23/12/13,Confirmed
3,Nur Property,02/01/14,2014,Jan,Shoulder Season,SG,17,8,0.5,83.56,Corporate,Corporate,Sunset Ltd,Company C,668.49,Transite,94,09/12/13,Confirmed
1,Kasha Property,03/01/14,2014,Jan,Shoulder Season,RO,6,3,0.5,247.58,Business,OTA,ZanziTours,Company A,742.75,Transite,64,26/12/13,Confirmed
2,Casa Property,03/01/14,2014,Jan,Shoulder Season,UK,14,9,0.6,82.13,Business,TA/TO,ZanziTours,Company C,739.18,Transite,155,10/12/13,Canceled
6,Fun Property,03/01/14,2014,Jan,Shoulder Season,UK,20,11,0.6,94.22,Business,OTA,Oceanic Travels,,1036.42,Transite,110,07/12/13,Canceled
5,Loop Property,03/01/14,2014,Jan,Shoulder Season,BR,17,10,0.6,87.62,Leisure,OTA,Sunset Ltd,Company A,876.19,Transite,80,17/12/13,No Show
4,Michamvi Property,03/01/14,2014,Jan,Shoulder Season,BE,18,11,0.6,94.88,Group,Group,ZanziTours,Company A,1043.65,Transite,173,15/12/13,Canceled
7,Mwezi Property,03/01/14,2014,Jan,Shoulder Season,AU,22,12,0.5,87.1,Corporate,OTA,Sunset Ltd,,1045.23,Transite,143,28/12/13,No Show
3,Nur Property,03/01/14,2014,Jan,Shoulder Season,DE,17,8,0.5,93.68,Business,OTA,ZanziTours,Company C,749.44,Transite,126,14/12/13,Canceled
1,Kasha Property,04/01/14,2014,Jan,Shoulder Season,IN,6,2,0.3,251.27,Group,Website,ZanziTours,Company B,502.54,Transite,73,06/12/13,No Show
2,Casa Property,04/01/14,2014,Jan,Shoulder Season,AT,14,8,0.6,80.77,Leisure,TA/TO,TO Africa,Company B,646.12,Transite,89,19/12/13,Canceled
6,Fun Property,04/01/14,2014,Jan,Shoulder Season,DK,20,10,0.5,83.17,Leisure,Website,Oceanic Travels,Company C,831.7,Transite,122,20/12/13,Confirmed
5,Loop Property,04/01/14,2014,Jan,Shoulder Season,EE,17,10,0.6,82.11,Group,OTA,Sunset Ltd,Company A,821.11,Transite,96,19/12/13,Confirmed
4,Michamvi Property,04/01/14,2014,Jan,Shoulder Season,FR,18,11,0.6,93.88,Group,Group,ZanziTours,,1032.68,Transite,164,25/12/13,Confirmed
7,Mwezi Property,04/01/14,2014,Jan,Shoulder Season,AT,22,11,0.5,88.26,Leisure,Group,Sunset Ltd,Company B,970.91,Transite,109,15/12/13,No Show
3,Nur Property,04/01/14,2014,Jan,Shoulder Season,AT,17,9,0.5,83.28,Leisure,OTA,Oceanic Travels,Company A,749.53,Transite,69,20/12/13,No Show
1,Kasha Property,05/01/14,2014,Jan,Shoulder Season,DK,6,3,0.5,259.65,Leisure,TA/TO,Sunset Ltd,Company C,778.95,Transite,173,29/12/13,No Show
2,Casa Property,05/01/14,2014,Jan,Shoulder Season,NL,14,8,0.6,81.43,Business,OTA,ZanziTours,Company B,651.47,Transite,96,02/01/14,No Show
6,Fun Property,05/01/14,2014,Jan,Shoulder Season,BG,20,9,0.5,91.78,Corporate,Direct,ZanziTours,Company C,826.05,Transite,77,19/12/13,No Show
5,Loop Property,05/01/14,2014,Jan,Shoulder Season,HU,17,9,0.5,93.63,Leisure,TA/TO,ZanziTours,Company B,842.64,Transite,6,27/12/13,Confirmed
4,Michamvi Property,05/01/14,2014,Jan,Shoulder Season,BR,18,8,0.4,83.57,Corporate,TA/TO,Sunset Ltd,,668.54,Transite,8,21/12/13,No Show
7,Mwezi Property,05/01/14,2014,Jan,Shoulder Season,RO,22,11,0.5,93.61,Group,Group,TO Africa,Company A,1029.72,Transite,152,03/01/14,Canceled
3,Nur Property,05/01/14,2014,Jan,Shoulder Season,SG,17,10,0.6,88.79,Business,Group,TO Africa,Company C,887.92,Transite,109,25/12/13,No Show
1,Kasha Property,06/01/14,2014,Jan,Shoulder Season,PL,6,3,0.5,241.32,Business,OTA,Oceanic Travels,,723.96,Transite,5,19/12/13,Canceled
2,Casa Property,06/01/14,2014,Jan,Shoulder Season,FR,14,6,0.4,82.6,Corporate,Group,Oceanic Travels,Company C,495.61,Transite,47,22/12/13,No Show
6,Fun Property,06/01/14,2014,Jan,Shoulder Season,NL,20,12,0.6,86.06,Group,Direct,TO Africa,,1032.76,Transite,105,08/12/13,Confirmed
5,Loop Property,06/01/14,2014,Jan,Shoulder Season,FR,17,7,0.4,88.02,Leisure,OTA,ZanziTours,Company C,616.16,Transite,29,14/12/13,No Show
4,Michamvi Property,06/01/14,2014,Jan,Shoulder Season,LV,18,8,0.4,84.97,Group,TA/TO,ZanziTours,,679.78,Transite,123,13/12/13,Canceled
7,Mwezi Property,06/01/14,2014,Jan,Shoulder Season,ZA,22,11,0.5,81.79,Corporate,OTA,Oceanic Travels,Company C,899.73,Transite,34,04/01/14,No Show
3,Nur Property,06/01/14,2014,Jan,Shoulder Season,NL,17,8,0.5,80.7,Business,OTA,Oceanic Travels,Company B,645.58,Transite,28,29/12/13,No Show
1,Kasha Property,07/01/14,2014,Jan,Shoulder Season,CA,6,2,0.3,247.56,Corporate,TA/TO,TO Africa,Company B,495.12,Transite,43,23/12/13,Confirmed
2,Casa Property,07/01/14,2014,Jan,Shoulder Season,FR,14,7,0.5,88.2,Business,Group,TO Africa,Company C,617.43,Transite,117,16/12/13,No Show
6,Fun Property,07/01/14,2014,Jan,Shoulder Season,CH,20,12,0.6,84.13,Business,Website,Oceanic Travels,,1009.56,Transite,172,12/12/13,No Show
5,Loop Property,07/01/14,2014,Jan,Shoulder Season,CN,17,10,0.6,82.01,Leisure,Group,TO Africa,Company C,820.07,Transite,70,29/12/13,No Show
4,Michamvi Property,07/01/14,2014,Jan,Shoulder Season,RO,18,10,0.6,85.48,Group,OTA,Oceanic Travels,Company B,854.79,Transite,111,20/12/13,Canceled
7,Mwezi Property,07/01/14,2014,Jan,Shoulder Season,UK,22,10,0.5,89.23,Corporate,Group,Oceanic Travels,Company C,892.33,Transite,131,13/12/13,No Show
3,Nur Property,07/01/14,2014,Jan,Shoulder Season,AT,17,10,0.6,93.11,Corporate,Website,TO Africa,Company B,931.07,Transite,49,01/01/14,No Show
1,Kasha Property,08/01/14,2014,Jan,Shoulder Season,UK,6,3,0.5,278.47,Leisure,TA/TO,TO Africa,,835.4,Transite,4,31/12/13,Confirmed
2,Casa Property,08/01/14,2014,Jan,Shoulder Season,AT,14,7,0.5,83.07,Leisure,Group,Sunset Ltd,,581.48,Transite,163,09/12/13,No Show
6,Fun Property,08/01/14,2014,Jan,Shoulder Season,IE,20,11,0.6,89.41,Corporate,TA/TO,Oceanic Travels,Company C,983.56,Transite,99,02/01/14,Canceled
5,Loop Property,08/01/14,2014,Jan,Shoulder Season,CN,17,9,0.5,94.02,Corporate,Corporate,ZanziTours,Company A,846.17,Transite,161,15/12/13,No Show
4,Michamvi Property,08/01/14,2014,Jan,Shoulder Season,UK,18,8,0.4,81.25,Group,OTA,Sunset Ltd,,649.97,Transite,96,15/12/13,Canceled
7,Mwezi Property,08/01/14,2014,Jan,Shoulder Season,BE,22,12,0.5,80.94,Corporate,Group,ZanziTours,Company A,971.23,Transite,85,02/01/14,Confirmed
3,Nur Property,08/01/14,2014,Jan,Shoulder Season,AE,17,10,0.6,83.64,Business,TA/TO,TO Africa,Company A,836.38,Transite,157,14/12/13,Canceled
1,Kasha Property,09/01/14,2014,Jan,Shoulder Season,DE,6,3,0.5,277.68,Leisure,Direct,ZanziTours,,833.04,Transite,170,16/12/13,Canceled
2,Casa Property,09/01/14,2014,Jan,Shoulder Season,UK,14,8,0.6,85.66,Group,OTA,TO Africa,,685.31,Transite,53,19/12/13,Confirmed
6,Fun Property,09/01/14,2014,Jan,Shoulder Season,RO,20,9,0.5,84.85,Leisure,Direct,ZanziTours,Company B,763.66,Transite,155,29/12/13,Canceled
5,Loop Property,09/01/14,2014,Jan,Shoulder Season,DE,17,10,0.6,82.87,Leisure,Direct,TO Africa,Company A,828.72,Transite,147,30/12/13,Confirmed
4,Michamvi Property,09/01/14,2014,Jan,Shoulder Season,HU,18,11,0.6,88.04,Group,OTA,Sunset Ltd,Company C,968.4,Transite,24,17/12/13,Confirmed
7,Mwezi Property,09/01/14,2014,Jan,Shoulder Season,BE,22,11,0.5,80.47,Business,Direct,Sunset Ltd,Company B,885.13,Transite,14,25/12/13,Canceled
3,Nur Property,09/01/14,2014,Jan,Shoulder Season,CZ,17,8,0.5,91.07,Leisure,TA/TO,Oceanic Travels,Company C,728.59,Transite,178,08/01/14,Confirmed
1,Kasha Property,10/01/14,2014,Jan,Shoulder Season,CH,6,3,0.5,256.94,Leisure,Corporate,Sunset Ltd,Company A,770.82,Transite,130,17/12/13,Canceled
2,Casa Property,10/01/14,2014,Jan,Shoulder Season,IN,14,6,0.4,83.52,Corporate,Corporate,ZanziTours,Company B,501.11,Transite,11,13/12/13,Canceled
6,Fun Property,10/01/14,2014,Jan,Shoulder Season,DE,20,11,0.6,94.72,Leisure,TA/TO,TO Africa,Company C,1041.92,Transite,143,21/12/13,Canceled
5,Loop Property,10/01/14,2014,Jan,Shoulder Season,BR,17,10,0.6,84.14,Group,TA/TO,Oceanic Travels,Company A,841.43,Transite,141,26/12/13,No Show
4,Michamvi Property,10/01/14,2014,Jan,Shoulder Season,FR,18,8,0.4,82.45,Business,Group,Sunset Ltd,Company A,659.59,Transite,19,05/01/14,Canceled
7,Mwezi Property,10/01/14,2014,Jan,Shoulder Season,BR,22,12,0.5,93.64,Group,Website,TO Africa,Company B,1123.7,Transite,177,08/01/14,No Show
3,Nur Property,10/01/14,2014,Jan,Shoulder Season,DK,17,8,0.5,94.05,Group,TA/TO,TO Africa,Company B,752.42,Transite,142,18/12/13,No Show
1,Kasha Property,11/01/14,2014,Jan,Shoulder Season,AE,6,3,0.5,273.4,Corporate,Direct,ZanziTours,Company B,820.21,Transite,110,16/12/13,Confirmed
2,Casa Property,11/01/14,2014,Jan,Shoulder Season,CH,14,8,0.6,81.13,Corporate,OTA,ZanziTours,Company B,649.08,Transite,97,18/12/13,No Show
6,Fun Property,11/01/14,2014,Jan,Shoulder Season,FR,20,9,0.5,94.14,Group,TA/TO,TO Africa,,847.29,Transite,101,18/12/13,No Show
5,Loop Property,11/01/14,2014,Jan,Shoulder Season,SI,17,10,0.6,86.47,Business,Website,ZanziTours,Company B,864.67,Transite,41,22/12/13,Canceled
4,Michamvi Property,11/01/14,2014,Jan,Shoulder Season,FR,18,8,0.4,84.47,Business,TA/TO,Oceanic Travels,Company C,675.76,Transite,106,30/12/13,Confirmed
7,Mwezi Property,11/01/14,2014,Jan,Shoulder Season,DK,22,13,0.6,86.09,Corporate,Website,ZanziTours,Company A,1119.18,Transite,58,30/12/13,No Show
3,Nur Property,11/01/14,2014,Jan,Shoulder Season,SK,17,9,0.5,87.02,Corporate,OTA,Sunset Ltd,Company A,783.15,Transite,173,02/01/14,No Show
1,Kasha Property,12/01/14,2014,Jan,Shoulder Season,CA,6,3,0.5,260.14,Corporate,Website,Sunset Ltd,,780.42,Transite,81,16/12/13,Confirmed
2,Casa Property,12/01/14,2014,Jan,Shoulder Season,PL,14,7,0.5,81.07,Corporate,TA/TO,Sunset Ltd,Company B,567.52,Transite,99,15/12/13,Confirmed
6,Fun Property,12/01/14,2014,Jan,Shoulder Season,DE,20,9,0.5,94.92,Leisure,Direct,ZanziTours,,854.29,Transite,107,11/01/14,No Show
5,Loop Property,12/01/14,2014,Jan,Shoulder Season,DE,17,9,0.5,88.42,Group,Direct,Oceanic Travels,Company B,795.74,Transite,79,15/12/13,No Show
4,Michamvi Property,12/01/14,2014,Jan,Shoulder Season,RO,18,8,0.4,85.33,Leisure,Group,TO Africa,Company B,682.65,Transite,72,09/01/14,Canceled
7,Mwezi Property,12/01/14,2014,Jan,Shoulder Season,AE,22,10,0.5,91.21,Group,TA/TO,Oceanic Travels,Company A,912.09,Transite,175,21/12/13,Confirmed
3,Nur Property,12/01/14,2014,Jan,Shoulder Season,SI,17,9,0.5,86.42,Group,OTA,Oceanic Travels,Company B,777.8,Transite,64,20/12/13,Canceled
1,Kasha Property,13/01/14,2014,Jan,Shoulder Season,AT,6,2,0.3,246.29,Corporate,OTA,ZanziTours,,492.58,Transite,119,16/12/13,Confirmed
2,Casa Property,13/01/14,2014,Jan,Shoulder Season,BE,14,7,0.5,87.64,Business,TA/TO,ZanziTours,Company B,613.48,Transite,172,21/12/13,No Show
6,Fun Property,13/01/14,2014,Jan,Shoulder Season,AT,20,12,0.6,84.91,Leisure,Website,TO Africa,Company C,1018.96,Transite,35,30/12/13,Canceled
5,Loop Property,13/01/14,2014,Jan,Shoulder Season,IN,17,9,0.5,91.9,Leisure,OTA,ZanziTours,Company A,827.09,Transite,39,26/12/13,Confirmed
4,Michamvi Property,13/01/14,2014,Jan,Shoulder Season,FR,18,10,0.6,86.51,Leisure,TA/TO,Oceanic Travels,Company C,865.13,Transite,100,22/12/13,Confirmed
7,Mwezi Property,13/01/14,2014,Jan,Shoulder Season,PL,22,10,0.5,92.13,Leisure,Group,Sunset Ltd,Company A,921.29,Transite,42,02/01/14,No Show
3,Nur Property,13/01/14,2014,Jan,Shoulder Season,EE,17,10,0.6,84.5,Business,TA/TO,Sunset Ltd,Company A,845.01,Transite,144,14/12/13,Canceled
1,Kasha Property,14/01/14,2014,Jan,Shoulder Season,CH,6,2,0.3,271.45,Business,TA/TO,Sunset Ltd,,542.91,Transite,21,08/01/14,Canceled
2,Casa Property,14/01/14,2014,Jan,Shoulder Season,LT,14,7,0.5,92.84,Business,Website,TO Africa,Company A,649.85,Transite,20,05/01/14,No Show
6,Fun Property,14/01/14,2014,Jan,Shoulder Season,LU,20,12,0.6,90.36,Group,TA/TO,Oceanic Travels,Company A,1084.34,Transite,105,15/12/13,Confirmed
5,Loop Property,14/01/14,2014,Jan,Shoulder Season,CN,17,10,0.6,90.05,Business,TA/TO,TO Africa,,900.49,Transite,137,02/01/14,Canceled
4,Michamvi Property,14/01/14,2014,Jan,Shoulder Season,JP,18,9,0.5,86.4,Group,Group,Oceanic Travels,Company A,777.64,Transite,8,24/12/13,Confirmed
7,Mwezi Property,14/01/14,2014,Jan,Shoulder Season,PL,22,13,0.6,88.62,Group,OTA,Oceanic Travels,,1152,Transite,12,23/12/13,Canceled
3,Nur Property,14/01/14,2014,Jan,Shoulder Season,BE,17,9,0.5,92.95,Corporate,OTA,Oceanic Travels,,836.51,Transite,125,21/12/13,No Show
1,Kasha Property,15/01/14,2014,Jan,Shoulder Season,FR,6,3,0.5,272.82,Business,OTA,Sunset Ltd,Company B,818.46,Transite,168,06/01/14,Confirmed
2,Casa Property,15/01/14,2014,Jan,Shoulder Season,BG,14,7,0.5,89.11,Leisure,Website,TO Africa,Company B,623.77,Transite,132,10/01/14,No Show
6,Fun Property,15/01/14,2014,Jan,Shoulder Season,AT,20,11,0.6,94.24,Corporate,OTA,Sunset Ltd,Company B,1036.61,Transite,152,29/12/13,Canceled
